"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-1-15192","Band","Chorale and Fugue in F Major","Bach","Daehn","Daehn Publications","1","(Chorale only)"
"100-1-15193","Band","Bartok Suite","Bartok","Clark","Belwin, Inc","1",""
"100-1-15194","Band","Allegretto (from Symphony No. 7)","Beethoven","Court","Curnow Music","1",""
"100-1-15198","Band","Theme and Variations","Broege","","Manhattan Beach Music","1",""
"100-1-15200","Band","La Volta","Byrd","Fenske","Daehn Publications","1",""
"100-1-15202","Band","Danse Pavane","Cacavas","","Bourne, Co.","1",""
"100-1-15203","Band","Canadian Sketches","Curnow","","Curnow Music","1",""
"100-1-15204","Band","Irish Legends","Curnow","","Hal Leonard Music, Inc.","1",""
"100-1-15205","Band","Korean Folk Rhapsody","Curnow","","Hal Leonard Music, Inc.","1",""
"100-1-15208","Band","Nottingham Castle","Daehn","","Daehn Publications","1",""
"100-1-15209","Band","English Folk Suite","Del Borgo","","Hal Leonard Music, Inc.","1",""
"100-1-15211","Band","A Flemish Carol","Anon. or Trad.","Del Borgo","Kendor Music, Inc.","1",""
"100-1-15212","Band","Renaissance Couplet","Jaquet","Del Borgo","Kendor Music, Inc.","1",""
"100-1-15213","Band","Orlando Suite","DiLasso","DeHaan","De Haske Publications","1","(play mvt 2 plus one other mvt)"
"100-1-15214","Band","Early English Suite","Duncombe","Finlayson","Boosey & Hawkes, Inc.","1","(play mvts 1 & 4, plus one other mvt)"
"100-1-15215","Band","Amazing Grace","Edmondson","","Queenwood Publications","1",""
"100-1-15216","Band","Three English Folk Songs","Edmondson","","C.L. Barnhouse Company","1",""
"100-1-15217","Band","Three Scottish Folk Songs","Edmondson","","C.L. Barnhouse Company","1",""
"100-1-15221","Band","Cantabile","Finlayson","","Boosey & Hawkes, Inc.","1",""
"100-1-15222","Band","Prelude and March","Frackenpohl","","Shawnee Press","1",""
"100-1-15223","Band","Russian Sailor's Dance","Gliere","Williams","Alfred Music Company, Inc.","1",""
"100-1-15224","Band","Courtly Festival","Purcell","Gordon","Belwin, Inc","1",""
"100-1-15225","Band","American Folk Tune Adventure","Gorham","","Wingert/Jones","1",""
"100-1-15227","Band","Little English Suite","Grundman","","Boosey & Hawkes, Inc.","1","(play two contrasting mvts)"
"100-1-15228","Band","A Suite of Baroque Dances","Handel","Kinyon","Alfred Music Company, Inc.","1",""
"100-1-15229","Band","Fughetta","Handel","Conley","Boosey & Hawkes, Inc.","1",""
"100-1-15230","Band","Japanese Festival","Hilliard","","Carl Fischer, Inc.","1",""
"100-1-15231","Band","In The Bleak Midwinter","Holst","Bullock","Belwin, Inc","1",""
"100-1-15233","Band","Shalom Chaverim","Johnson","","Curnow Music","1",""
"100-1-15236","Band","Shenandoah Valley","Kinyon","","Alfred Music Company, Inc.","1",""
"100-1-15237","Band","Wildwind Overture","Kinyon","","Alfred Music Company, Inc.","1",""
"100-1-15239","Band","Fanfare, Ode and Festival","Margolis","","Manhattan Beach Music","1","(play two mvts)"
"100-1-15240","Band","Prelude and March","Margolis","","Manhattan Beach Music","1",""
"100-1-15242","Band","The Stars Asleep, The Break of Day","Margolis","","Manhattan Beach Music","1",""
"100-1-15244","Band","All The Pretty Little Horses","McGinty","","Queenwood Publications","1",""
"100-1-15245","Band","Atlantis","McGinty","","Hal Leonard Music, Inc.","1",""
"100-1-15246","Band","Chorale and Variation","Bach","McGinty","Queenwood Publications","1",""
"100-1-15247","Band","Folk Trilogy","Bartok","McGinty","Queenwood Publications","1",""
"100-1-15248","Band","Chorale Prelude","McGinty","","Queenwood Publications","1",""
"100-1-15250","Band","Madrigal for Band","McGinty","","Queenwood Publications","1",""
"100-1-15251","Band","Three Gymnopedies","Satie","McGinty","Queenwood Publications","1","(play one mvt)"
"100-1-15252","Band","Sea Song Trilogy","McGinty","","Boosey & Hawkes, Inc.","1",""
"100-1-15253","Band","From an 18th Century Album","Myers","","TRN Music Publisher","1","(play mvts 1 & 3 or 2 & 3)"
"100-1-15254","Band","Spring Song","Nowak","","Boosey & Hawkes, Inc.","1",""
"100-1-15255","Band","Ballet of Spring (Ballet du printemps)","O'Connor","","RBC Publications","1",""
"100-1-15256","Band","Two English Dances","Anon. or Trad.","O'Reilly","Alfred Music Company, Inc.","1",""
"100-1-15257","Band","Connemara Sketches","Osborne","","William Allen Music, Inc.","1","(play two contrasting mvts)"
"100-1-15258","Band","The Piper and The Captain","Osborne","","Southern Music Company","1","(play two contrasting mvts)"
"100-1-15259","Band","Castle, Loch and Heath","Ployhar","","Wynn Music Publishers","1","(play two contrasting mvts)"
"100-1-15261","Band","Simple Gifts","Ployhar","","Belwin, Inc","1",""
"100-1-15262","Band","Jeannette, Isabella","Ryden","","Manhattan Beach Music","1",""
"100-1-15263","Band","The Schumann Suite","Schumann","Bulla","Curnow Music","1","(play one mvt)"
"100-1-15264","Band","Pevensey Castle","Sheldon","","Birch Island Music Press","1",""
"100-1-15265","Band","Chorale Prelude: All Things Bright and Beautiful","Smith","","Claude T. Smith Publications","1",""
"100-1-15267","Band","Sakura","Traditional","Story","Belwin, Inc","1",""
"100-1-15268","Band","Three on the Isle","Stuart","","TRN Music Publisher","1","(play mvt 1 or 3)"
"100-1-15269","Band","Renaissance Suite","Susato","Curnow","Hal Leonard Music, Inc.","1","(play mvts 1 & 2 or 1 & 3)"
"100-1-15270","Band","Reflections","Swearingen","","C.L. Barnhouse Company","1",""
"100-1-15271","Band","Distant Horizons","Sweeney","","Hal Leonard Music, Inc.","1",""
"100-1-15273","Band","Brother James' Air","Bain","Wagner","Belwin, Inc","1",""
"100-1-15275","Band","Capriol Suite","Warlock","Longfield","Hal Leonard Music, Inc.","1","(play two mvts)"
"100-1-15276","Band","Tunbridge Meadows","Williams","","Alfred Music Company, Inc.","1",""
"100-1-15277","Band","Two Classic Miniatures","Haydn","Williams","Alfred Music Company, Inc.","1",""
"100-1-15278","Band","River Valley Serenade","Anon. or Trad.","Wilson","Alfred Music Company, Inc.","1",""
"100-1-25150","Band","Fantasy On An Irish Air","Saucedo","","Hal Leonard Music, Inc.","1",""
"100-1-25151","Band","Glen Canyon Overture","Edmondson","","Kendor Music, Inc.","1",""
"100-1-25155","Band","Variants On An Australian Song","Alberty","","RBC Publications","1",""
"100-1-25156","Band","Stratosphere","Beckham","","Grand Mesa Music Publishers","1",""
"100-1-25157","Band","Phantom Ship","Del Borgo","","FJH Music Company","1",""
"100-1-25160","Band","Pinnacle","Grice","","Grand Mesa Music Publishers","1",""
"100-1-25161","Band","Norwegian Legend","Grieg","Forsblad","Grand Mesa Music Publishers","1",""
"100-1-25162","Band","Maranatha","Harbaugh","","TRN Music Publisher","1",""
"100-1-25163","Band","Cascadia Celebration","Hodges","","Alfred Music Company, Inc.","1",""
"100-1-25164","Band","Scarborough Fair","Moss","","Hal Leonard Music, Inc.","1",""
"100-1-25166","Band","Court Festival","Pearson","","Neil A. Kjos Music Company","1",""
"100-1-25167","Band","Ming Court","Pitter","","Neil A. Kjos Music Company","1",""
"100-1-25169","Band","A Joyful Journey","Sheldon","","Alfred Music Company, Inc.","1",""
"100-1-25170","Band","Dance Celebration","Smith","","Belwin, Inc","1",""
"100-1-25171","Band","Serengeti Dreams","Smith","","Belwin, Inc","1",""
"100-1-25172","Band","Ayrshire Portrait","Story","","Belwin, Inc","1",""
"100-1-25173","Band","Medieval Legend","Story","","Belwin, Inc","1",""
"100-1-25174","Band","Song of Hope","Swearingen","","C.L. Barnhouse Company","1",""
"100-1-25175","Band","Gathering In The Glen","Sweeney","","Hal Leonard Music, Inc.","1",""
"100-1-25176","Band","The Rychemount Chronicles","Turnbull","","Multiple Publishers;Studio Publications;Southern Music Company","1","(play two mvts)"
"100-1-25178","Band","Wolseys Wilde","Byrd","McGinty","Queenwood Publications","1",""
"100-1-25179","Band","Cedar Canyon Round Up","Williams","","Alfred Music Company, Inc.","1",""
"100-1-25180","Band","Korean Hill Song","Williams","","Alfred Music Company, Inc.","1",""
"100-1-28199","Band","Chorale Prelude - For the Beauty of the Earth","Colquitt","","Twin Towers Music Publications","1",""
"100-1-28200","Band","Maesong","Owens","","TRN Music Publisher","1",""
"100-1-28201","Band","Courtlandt County Festival","Owens","","TRN Music Publisher","1",""
"100-1-28213","Band","Cahokia","Spears","","Great Works Publishing","1",""
