"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-4-15494","Band","Pageant","Persichetti","","Carl Fischer, Inc.","4",""
"100-4-15531","Band","Sun Dance","Ticheli","","Manhattan Beach Music","4",""
"100-4-15532","Band","Salvation is Created","Tschesnokoff","Houseknecht","Neil A. Kjos Music Company","4",""
"100-4-15544","Band","Sea Songs","Vaughan Williams","","Boosey & Hawkes, Inc.","4",""
"100-4-15552","Band","Moravian Hymn Dance","Allen","","TRN Music Publisher","4",""
"100-4-15554","Band","English Dances, Set 1","Arnold","Johnstone","Lengnick","4","(play three mvts)"
"100-4-15555","Band","English Dances, Set II","Arnold","Herbert","Lengnick","4","(play three mvts)"
"100-4-15556","Band","Four Scottish Dances","Arnold","Paynter","Carl Fischer, Inc.","4","(play three mvts)"
"100-4-15557","Band","Prelude, Siciliano and Rondo","Arnold","Paynter","Carl Fischer, Inc.","4",""
"100-4-15558","Band","Sarabande and Polka","Arnold","Paynter","Carl Fischer, Inc.","4",""
"100-4-15560","Band","O Mensch Bewein Dein Sunde Grosse","Bach","Grainger","G&M Brand","4",""
"100-4-15563","Band","Sleepers, Awake!","Bach","Patterson","Manhattan Beach Music","4",""
"100-4-15566","Band","Suite of Old American Dances","Bennett","","Hal Leonard Music, Inc.","4","(play three mvts)"
"100-4-15567","Band","Candide Suite","Bernstein","Grundman","Boosey & Hawkes, Inc.","4","(play three mvts)"
"100-4-15572","Band","Three Preludes","Bruckner","Broege","Daehn Publications","4",""
"100-4-15574","Band","William Byrd Suite","Byrd","Jacob","Boosey & Hawkes, Inc.","4","(play three mvts)"
"100-4-15577","Band","Overture for a Musical Comedy","Chance","","Boosey & Hawkes, Inc.","4",""
"100-4-15578","Band","Variations on a Korean Folk Song","Chance","","Boosey & Hawkes, Inc.","4",""
"100-4-15579","Band","Variations on a Shaker Melody","Copland","","Boosey & Hawkes, Inc.","4",""
"100-4-15580","Band","Prelude in Dorian Mode","de Cabezon","Grainger","G&M Brand","4",""
"100-4-15583","Band","From Every Horizon","Dello Joio","","Masters Music Publications","4",""
"100-4-15584","Band","Satiric Dances","Dello Joio","","G. Schirmer, Inc.","4",""
"100-4-15585","Band","Scenes from the Louvre","Dello Joio","","Hal Leonard Music, Inc.","4","(play mvt 1 & 5,  plus one other mvt)"
"100-4-15586","Band","Chanson de Matin","Elgar","De Meij","Molenaar","4",""
"100-4-15589","Band","Toccata","Frescobaldi","Slocum","Belwin, Inc","4",""
"100-4-15591","Band","Fantasia For Band","Giannini","","Belwin, Inc","4",""
"100-4-15592","Band","Symphony No. 3","Giannini","","Belwin, Inc","4","(play one mvt)"
"100-4-15593","Band","Suite Divertimento","Gilbert","","Southern Music Company","4","(play mvts 1 & 2 or 2 & 3)"
"100-4-15594","Band","Ballad for Band","Gould","","G. Schirmer, Inc.","4",""
"100-4-15595","Band","Eastern Intermezzo","Grainger","Warshaw","RBC Publications","4",""
"100-4-15596","Band","Handel in the Strand","Grainger","Goldman","E.C. Schirmer Music Company","4",""
"100-4-15598","Band","Irish Tune from County Derry","Grainger","Rogers","Multiple Publishers;Southern Music Company;Carl Fischer, Inc.","4",""
"100-4-15600","Band","Lincolnshire Posy","Grainger","Fennell/Lud","Multiple Publishers;Ludwig Music Publishing Company;G. Schirmer, Inc.","4","(play four mvts)"
"100-4-15603","Band","Shepherd's Hey","Grainger","Rogers","Multiple Publishers;Southern Music Company;Carl Fischer, Inc.","4",""
"100-4-15605","Band","Walking Tune","Grainger","Daehn","Daehn Publications","4",""
"100-4-15606","Band","Concord","Grundman","","Boosey & Hawkes, Inc.","4",""
"100-4-15607","Band","Water Music: Overture and Hornpipe","Handel","Longfield","C.L. Barnhouse Company","4",""
"100-4-15608","Band","Chorale and Alleluia","Hanson","","Carl Fischer, Inc.","4",""
"100-4-15611","Band","First Suite in Eb","Holst","Matthews","Boosey & Hawkes, Inc.","4","(play two mvts)"
"100-4-15613","Band","Second Suite in F for Military Band","Holst","Matthews","Boosey & Hawkes, Inc.","4","(play three mvts)"
"100-4-15614","Band","Old Home Days","Ives","Elkus","Peer/Southern Organization","4",""
"100-4-15615","Band","The Alcotts","Ives","Thurston","Hal Leonard Music, Inc.","4",""
"100-4-15616","Band","Fantasia on an English Folk Song","Jacob","","G&M Brand","4",""
"100-4-15617","Band","Giles Farnaby Suite","Jacob","","Boosey & Hawkes, Inc.","4","(play mvt 1 plus three contrasting mvts)"
"100-4-15618","Band","Ouverture pour Orchestre Militaire","Jadin","Molenaar","Molenaar","4",""
"100-4-15619","Band","Colonial Airs and Dances","Jager","","Neil A. Kjos Music Company","4",""
"100-4-15620","Band","Third Suite","Jager","","Volkwein Bros., Inc.","4",""
"100-4-15621","Band","Armenian Dances","Khachaturian","Satz","Edwin F. Kalmus","4",""
"100-4-15622","Band","Melita","Knox","","Ludwig Music Publishing Company","4",""
"100-4-15623","Band","English Country Settings","La Plante","","Daehn Publications","4",""
"100-4-15624","Band","Three Chorale Preludes","Latham","","Summy/Birchard","4",""
"100-4-15625","Band","Festival in Russia","Liadov","Wilcox","Manhattan Beach Music","4",""
"100-4-15626","Band","Elegy for a Young American","LoPresti","","Theodore Presser Company","4",""
"100-4-15627","Band","Argentum","Mahr","","Neil A. Kjos Music Company","4",""
"100-4-15628","Band","Bouquets","Mailman","","Carl Fischer, Inc.","4",""
"100-4-15630","Band","Color","Margolis","","Manhattan Beach Music","4",""
"100-4-15631","Band","Terpsichore","Margolis","","Manhattan Beach Music","4","(play one mvt)"
"100-4-15632","Band","Grace Praeludium","McBeth","","Southern Music Company","4",""
"100-4-15633","Band","Kaddish","McBeth","","Southern Music Company","4",""
"100-4-15635","Band","Suite Francaise","Milhaud","","Hal Leonard Music, Inc.","4","(play three mvts)"
"100-4-15636","Band","Courtly Airs and Dances","Nelson","","Ludwig Music Publishing Company","4",""
"100-4-15638","Band","Carmina Burana","Orff","Krance","European American","4","(play mvts 1 & 2, plus three other mvts or play mvt 13, plus 3 other mvts)"
"100-4-15640","Band","Bagatelles for Band","Persichetti","","Multiple Publishers;Edwin F. Kalmus;Theodore Presser Company","4",""
"100-4-15641","Band","Chorale Prelude: So Pure the Star","Persichetti","","Elkan-Vogel Company, Inc.","4",""
"100-4-15642","Band","Chorale Prelude: Turn Not Thy Face","Persichetti","","Elkan-Vogel Company, Inc.","4",""
"100-4-15643","Band","Divertimento for Band","Persichetti","","Theodore Presser Company","4","(play mvt 1 plus three mvts)"
"100-4-15644","Band","O Cool is the Valley","Persichetti","","Elkan-Vogel Company, Inc.","4",""
"100-4-15645","Band","Serenade for Band","Persichetti","","Elkan-Vogel Company, Inc.","4",""
"100-4-15646","Band","Symphony for Band","Persichetti","","Elkan-Vogel Company, Inc.","4","(play three mvts)"
"100-4-15647","Band","A Festival Prelude","Reed","","Hal Leonard Music, Inc.","4",""
"100-4-15648","Band","A Jubilant Overture","Reed","","C.L. Barnhouse Company","4",""
"100-4-15649","Band","La Fiesta Mexicana","Reed","","Belwin, Inc","4","(play mvt 1 or 3)"
"100-4-15650","Band","The Hounds of Spring","Reed","","Hal Leonard Music, Inc.","4",""
"100-4-15651","Band","The Pines of Rome","Respighi","Duker","G. Schirmer, Inc.","4","(play mvt 4)"
"100-4-15652","Band","Tres Danzas de Mexico","Rhoads","","TRN Music Publisher","4",""
"100-4-15653","Band","Three Pieces for Band","Rhodes","","Belwin, Inc","4",""
"100-4-15656","Band","The Story of the Kalandar Prince (from Scheherazade)","Rimsky-Korsakov","Hindsley/Winterbottom/Patterson","Multiple Publishers;HT;Boosey & Hawkes, Inc.;Merlin Patterson","4","(pub separately)"
"100-4-15658","Band","The Young Prince and Princess (from Scheherazade)","Rimsky-Korsakov","Hindsley/Winterbottom/Patterson","Multiple Publishers;HT;Boosey & Hawkes, Inc.;Merlin Patterson","4","(also pub separately)"
"100-4-15660","Band","Chorale and Capriccio","Running","","Shawnee Press","4",""
"100-4-15661","Band","Nocturne Op. 9 No. 2","Scriabin","Reed","Hal Leonard Music, Inc.","4",""
"100-4-15662","Band","Prelude Op. 9 No. 1","Scriabin","Reed","Hal Leonard Music, Inc.","4",""
"100-4-15663","Band","A Longford Legend","Sheldon","","Alfred Music Company, Inc.","4","(play all)"
"100-4-15664","Band","Folk Dances","Shostakovich","Reynolds","Carl Fischer, Inc.","4","(POP) Publisher is unable to print the arrangement (including scores) or sell the arrangement."
"100-4-15665","Band","Prelude Op. 34","Shostakovich","Reynolds","Carl Fischer, Inc.","4","(POP) Publisher is unable to print the arrangement (including scores) or sell the arrangement."
"100-4-15667","Band","Incidental Suite","Smith","","Claude T. Smith Publications","4",""
"100-4-15668","Band","Dance Movements","Sparke","","Studio Publications","4","(play at least 1 mvt)"
"100-4-15669","Band","Allerseelen","Strauss","Davis","Ludwig Music Publishing Company","4",""
"100-4-15670","Band","Pineapple Poll","Sullivan","Mackerras/Duthoit","Hal Leonard Music, Inc.","4","(play at least two mvts)"
"100-4-15671","Band","Cajun Folk Songs II","Ticheli","","Manhattan Beach Music","4",""
"100-4-15674","Band","A Passing Fantasy","Tull","","Southern Music Company","4",""
"100-4-15676","Band","Balkanya","Van der Roost","","De Haske Publications","4","(play mvts 1 & 2 or mvts 2 & 3)"
"100-4-15677","Band","Puszta","Van der Roost","","De Haske Publications","4",""
"100-4-15678","Band","Rikudim","Van der Roost","","De Haske Publications","4",""
"100-4-15679","Band","Suite Provencale","Van der Roost","","De Haske Publications","4",""
"100-4-15680","Band","Suite on Greek Love Songs","van Lijnschooten","","Molenaar","4",""
"100-4-15681","Band","Rhosymedre","Vaughan Williams","Beeler","E.C. Schirmer Music Company","4",""
"100-4-15682","Band","Vaughan Williams Set: Flourish for Wind Band; I Vow to Thee My Country","Vaughan Williams","","Multiple Publishers;Oxford University Press;G. Schirmer, Inc.","4","(play both as a set) (pub separately)"
"100-4-15683","Band","Siegfried's Funeral Music","Wagner","Whear","C.L. Barnhouse Company","4",""
"100-4-15686","Band","Symphonic Dance No. 3 (Fiesta)","Williams","","Belwin, Inc","4",""
"100-4-15687","Band","Symphonic Suite","Williams","","Belwin, Inc","4","(play at least four mvts)"
