"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-2-15196","Band","Chester","Billings","Tolmage","Staff Music Publishing Company","2",""
"100-2-15219","Band","Norwegian Folk Song Suite","Erickson","","Bourne, Co.","2",""
"100-2-15226","Band","Kentucky 1800","Grundman","","Boosey & Hawkes, Inc.","2",""
"100-2-15279","Band","A Susato Prelude","Akey","","Queenwood Publications","2",""
"100-2-15280","Band","Bosnian Folk Songs","Allen","","TRN Music Publisher","2",""
"100-2-15281","Band","Chanteys","Andrews","","Shawnee Press","2",""
"100-2-15282","Band","Hill Songs","Andrews","","Shawnee Press","2",""
"100-2-15283","Band","Belle Qui Tiens Ma Vie","Arbeau","Margolis","Manhattan Beach Music","2",""
"100-2-15284","Band","English Dances, Set I","Arnold","Johnstone","Lengnick","2","(play one mvt)"
"100-2-15285","Band","English Dances, Set II","Arnold","Herbert","Lengnick","2","(play one mvt)"
"100-2-15288","Band","Bach Chorale and March","Bach","Wilson","Alfred Music Company, Inc.","2",""
"100-2-15289","Band","Fugue in Bb Major","Bach","Daehn","Daehn Publications","2",""
"100-2-15290","Band","An Irish Interlude","Barker","","Alfred Music Company, Inc.","2",""
"100-2-15291","Band","Westridge Overture","Barnes","","Southern Music Company","2",""
"100-2-15292","Band","Yorkshire Ballad","Barnes","","Southern Music Company","2",""
"100-2-15293","Band","Loch Lomond","Black","","Alfred Music Company, Inc.","2",""
"100-2-15294","Band","Tricycle","Boysen","","Neil A. Kjos Music Company","2",""
"100-2-15295","Band","Prelude and Scherzo","Brahms","Hubbell","Ludwig Music Publishing Company","2",""
"100-2-15296","Band","America Verses","Broege","","Manhattan Beach Music","2",""
"100-2-15300","Band","Three Preludes","Bruckner","Broege","Daehn Publications","2","(play one)"
"100-2-15301","Band","Blue Mountain Saga","Bulla","","Curnow Music","2",""
"100-2-15302","Band","Legend of Knife River","Bulla","","Curnow Music","2",""
"100-2-15304","Band","An Irish Tribute","Conley","","Boosey & Hawkes, Inc.","2","(POP)"
"100-2-15305","Band","Canterbury Coronation","Curnow","","Curnow Music","2",""
"100-2-15306","Band","Russian Folk Fantasy","Curnow","","Hal Leonard Music, Inc.","2",""
"100-2-15307","Band","Contrasto Grosso","de Haan","","De Haske Publications","2","(play any two mvts)"
"100-2-15308","Band","Flight of Eagles","Del Borgo","","Hal Leonard Music, Inc.","2",""
"100-2-15309","Band","Songs Of The Whalemen","Del Borgo","","Hal Leonard Music, Inc.","2",""
"100-2-15310","Band","Two British Folk Songs","Del Borgo","","Hal Leonard Music, Inc.","2",""
"100-2-15311","Band","Orlando Suite","di Lasso","DeHaan","De Haske Publications","2",""
"100-2-15312","Band","Early English Suite","Duncombe","Finlayson","Boosey & Hawkes, Inc.","2",""
"100-2-15313","Band","As Torrents in Summer","Elgar","Davis","Ludwig Music Publishing Company","2",""
"100-2-15314","Band","Aria Cantabile","Erickson","","Belwin, Inc","2",""
"100-2-15315","Band","Balladair","Erickson","","Bourne, Co.","2",""
"100-2-15316","Band","Barcarolle","Erickson","","Alfred Music Company, Inc.","2",""
"100-2-15318","Band","Baroque Celebration","Forsblad","","Alfred Music Company, Inc.","2",""
"100-2-15320","Band","Italian Masters Suite","Gordon","","Marks Music Corporation","2",""
"100-2-15323","Band","Mini Suite","Gould","","Hal Leonard Music, Inc.","2",""
"100-2-15326","Band","Lincolnshire Posy","Grainger","Fennell/Lud","Multiple Publishers;Ludwig Music Publishing Company;G. Schirmer, Inc.","2","(play one mvt)"
"100-2-15327","Band","Two Grainger Melodies","Grainger","Kreines","C.L. Barnhouse Company","2","(play mvt 1)"
"100-2-15328","Band","Little English Suite","Grundman","","Boosey & Hawkes, Inc.","2",""
"100-2-15329","Band","The Black Knight","Grundman","","Boosey & Hawkes, Inc.","2",""
"100-2-15330","Band","Air and Finale","Handel","Balent","Carl Fischer, Inc.","2","(POP)"
"100-2-15331","Band","An Occasional Suite","Handel","Osterling","Ludwig Music Publishing Company","2",""
"100-2-15332","Band","La Rejouissance","Handel","Williams","Alfred Music Company, Inc.","2",""
"100-2-15333","Band","The Harmonious Blacksmith","Handel","Osterling","Hal Leonard Music, Inc.","2",""
"100-2-15334","Band","Little Schumann Set","Anon. or Trad.","Hartzell","Manhattan Beach Music","2",""
"100-2-15335","Band","Barbarossa","Himes","","Neil A. Kjos Music Company","2",""
"100-2-15338","Band","Kenya Contrasts","Himes","","Curnow Music","2",""
"100-2-15340","Band","Old Home Days","Ives","Elkus","Peer/Southern Organization","2","(play two mvts)"
"100-2-15341","Band","Three Chinese Miniatures","Jager","","Neil A. Kjos Music Company","2",""
"100-2-15342","Band","Scenes From a Royal Tapestry","Johnson","","G&M Brand","2","(play at least three mvts)"
