,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, Alderete Middle School, TEA:, Canutillo, Larry Adame,CC,Varsity ,2017,118890,2,1,1,1,1,1,2,1,C, Spitfire (Michael Story), Cahokia  (Spears/ ), Black Forest Overture  (Sweeney/ ),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
1, 100-Concert Band, Alicia R. Chacon, TEA:, El Paso, Jose Barriga / Alejandra Cortez,C,Varsity ,2017,121122,2,2,1,2,2,2,2,2, ," Union March (Rogers, Mekel)"," Nottingham Castle  (Daehn, Larry)"," Big Sky Round-Up  (Sheldon, Robert)",DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
2, 100-Concert Band, Bel Air Middle School, TEA:, El Paso, Eldon Ewing / Ellen Colunga,CCC,Non-Varsity ,2017,121231,1,2,1,1,1,2,2,2,2, Spitfire (Michael Story), Voodoo Dance (Del Borgo), Courtlandt County Festival (Owens),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
3, 100-Concert Band, Bel Air Middle School, TEA:, El Paso, Eldon Ewing / Ellen Colunga,CCC,Varsity ,2017,121230,1,1,1,1,1,1,1,1,C, Andalucia (Victor Lopez), Japanese Pictures (Mixon), Colliding Visions (Balmages),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
4, 100-Concert Band, Bill Sybert School, TEA:, El Paso, Steve Hernandez,CC,Varsity ,2017,120308,1,1,1,1,1,1,1,1,C, Darklands March (Randall D. Strandridge), Autumn Colors  (O'Reilly/ ), Contempo  (Story/ ),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
5, 100-Concert Band, Camino Real Middle School, TEA:, EL PASO," Roque Orozco / Tracy Morales, Matthew Fernandez",CC,Non-Varsity ,2017,121219,1,1,2,1,1,1,1,1,D, Fighting Falcon March (Todd Stalter), Courtlandt County Festival  (Owens/ ), Ghost Ship  (Story/ ),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
6, 100-Concert Band, Camino Real Middle School, TEA:, El Paso," Tracy E Morales / Roque Orozco, Matthew Fernandez",CC,Varsity ,2017,120183,2,1,1,1,2,2,2,2,2, March from First Suite for Military Band (Gustav Holst/Michael Story), Phantom Ship  (Del Borgo/ ), Fireball!  (Beck/ ),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
7, 100-Concert Band, Canutillo Middle School, TEA:, Canutillo, Christian Rodriguez,CC,Non-Varsity ,2017,118512,3,3,3,3,2,2,2,2, , Elite March (Sandy Feldstein & Larry Clark), A Song of Hope (James Swearingen), Armory (Randall D. Standridge),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
8, 100-Concert Band, Clarke Middle School, TEA:, El Paso, Vanessa Lopez / Gabriel Fernandez,CC,Varsity ,2017,119273,1,1,1,1,1,1,1,1,C, Darklands March (Randall Standridge), Our Kingsland Spring  (Hazo/ ), Expectations  (Clark/ ),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
9, 100-Concert Band, Clint Junior High, TEA:, Clint, Alberto Falcon / Anthony Alvarado,CC,Varsity ,2017,120508,2,3,3,3,3,2,2,2, , Copper Creek March (John Edmond), In the Bleak Midwinter (Gustav Holst/ jack Bullock), Contempo (Michael Story),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
10, 100-Concert Band, Col. John O. Ensor Middle School, TEA:, El Paso, David Jasso,CCC,Non-Varsity ,2017,119272,1,1,1,1,1,1,1,1,D, Forward March (Paul Murtha (ASCAP)), Ming Court  (Pitter/ ), Challenger Point  (Johnson/ ),DATE of EVENT 03/06/2017 ,Region: 22,1. Bill Harden,2. Marc Moomaw,3. Bobby Yerigan,1. Danny Allen,2. Faith Massey,3. Mark Saenz,
