,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, Americas High School, TEA:, El Paso, Albert Licon,AAAAA,Non-Varsity ,2014,96155,1,1,1,1,1,1,1,1,C, Imperial March (Karl King), Voices of the Sky  (Hazo/ )," Prelude, Siciliano and Rondo  (Arnold/Paynter)",DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
1, 100-Concert Band, Americas High School, TEA:, El Paso, Henry Vega,AAAAA,Varsity ,2014,96100,2,1,2,2,1,1,1,1,1, Americans We (Henry Fillmore/Robert Foster), Second Suite in F for Military Band (Holst/Matthews), Discover the Wild (Fuchs/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
2, 100-Concert Band, Andress, TEA:, El Paso, marvin parker,AAAA,Varsity ,2014,96253,1,1,3,1,1,1,1,1,A, Manhatton Beach (Sousa), Lux Arumque  (Whitacre/ )," English Dances, Set I (play two mvts) (Arnold/Johnstone)",DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
3, 100-Concert Band, Anthony High School, TEA:, anthony, Daniel Lozano,AA,Varsity ,2014,91092,3,3,2,3,2,2,2,2, , Ghost Fleet  (Sheldon/ ), Adrenaline Engines  (Standridge/ ), Aces of the Air (),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
4, 100-Concert Band, Austin High School, TEA:, El Paso, Arturo Cuellar,AAAA,Varsity ,2014,96233,3,4,4,4,4,4,4,4, , Brookshire Suite  (Barnes/ ), Spoon River  (Grainger/Sheldon/Bainum/Carson-Naylor), Military Escort ( Bennett/Swearingen),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
5, 100-Concert Band, Bel Air High School, TEA:, El Paso, Christopher Martin / Vicente Lopez,AAAAA,Sub Non-Varsity ,2014,96259,2,2,2,2,2,2,2,2, , The Chimes of Liberty (Goldman/Wagner), A Childhood Hymn (David Holsinger), La Madre de los Gatos (Brian Beck),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
6, 100-Concert Band, Bel Air High School, TEA:, El Paso, James Cordova / Vicente Lopez,AAAAA,Non-Varsity ,2014,96252,1,1,1,1,1,1,1,1,C, St. Petersburg March (Johnnie Vinson), Blue and Green Music (Hazo), Shine (Markowski),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
7, 100-Concert Band, Bel Air High School, TEA:, El Paso, Manny Talamantes / Vicente Lopez,AAAAA,Varsity ,2014,96257,1,2,1,1,1,1,1,1,A, El Relicario (Padilla/Longfield), Salvation is Created  (Tschesnokoff/Houseknecht), Suite Divertimento  (Gilbert),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
8, 100-Concert Band, Bowie High School, TEA:, El Paso, Mark Myers,AAAA,Non-Varsity ,2014,96279,2,3,2,2,1,2,1,1,2, Vivo Galope (William Kiefer), Appalachian Morning (Robert Sheldon), Accolade (William Himes),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
9, 100-Concert Band, Burges, TEA:, El Paso, Mike Porras,AAAA,Varsity ,2014,96277,3,4,2,3,4,4,3,4, , Midway March (Williams/Moss), A Simple Song (Bernstein/Sweeney), Butterflies Ball (Fraley),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
10, 100-Concert Band, Canutillo High School, TEA:, Canutillo, Regino Ramos Jr.,AAAA,Varsity ,2014,94539,3,3,3,3,3,3,3,3, , On a Hymnsong of Philip Bliss  (Holsinger/ ), March for a Festival (Bruce Pearson & Chuck Elledge), Chorale and Shaker Dance  (Zdechlik/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
11, 100-Concert Band, Capt. John L. Chapin High School, TEA:, El Paso, Humberto Perez,AAAA,Non-Varsity ,2014,96280,2,3,3,3,2,2,2,2, , Westwood Trail  (Wagner ), Pevensey Castle (Sheldon/ ), Sparks (Balmages/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
12, 100-Concert Band, Capt. John L. Chapin High School, TEA:, El Paso, Daniel Allen,AAAA,Varsity ,2014,96218,2,1,2,2,1,1,1,1,1, English Folk Song Suite (play one mvt) - March (Vaughan Williams/ ), Amazing Grace  (Ticheli/ ), Variations on a Korean Folk Song  (Chance/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
13, 100-Concert Band, Clint High School, TEA:, Clint, Anthony Alvarado / Patrick Bowen,AAA,Varsity ,2014,92323,2,1,2,2,1,1,1,1,1, Normandy Beach (John Edmondson), In The Shining Of The Stars  (Sheldon/ ), Sparks  (Balmages/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
14, 100-Concert Band, Coronado High School, TEA:, El Paso, Daniel Holmes,AAAAA,Non-Varsity ,2014,96229,1,1,1,1,1,1,1,1,C, Alamo March (King/Swearingen)," Simple Gifts, Four Shaker Songs (Ticheli)", Oracle (Rath),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
15, 100-Concert Band, Coronado High School, TEA:, El Paso, Mark Saenz,AAAAA,Varsity ,2014,96210,1,1,1,1,1,1,1,1,A, Solid Men To The Front (Sousa), Dance of the Seven Veils from Salome  (Strauss/Morita), Rocky Point Holiday  (Nelson/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
16, 100-Concert Band, Del Valle High School, TEA:, El Paso, Armando Martinez,AAAA,Non-Varsity ,2014,96237,1,1,1,1,1,1,1,1,C, Burma Patrol (Karl King/Swearingen)," Three Studies in English Folk Song (play mvt 3 plus, at least, one additional mvt) (Vaughan Williams/Harbinson)", Choreography  (Sheldon/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
17, 100-Concert Band, Del Valle High School, TEA:, El Paso, Armando Martinez,AAAA,Varsity ,2014,96236,1,1,1,1,2,3,1,2,1, The Trombone King (Karl King/Paynter), O Magnum Mysterium  (Lauridsen/Reynolds), Danzon No. 2  (Marquez/Nickel),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
18, 100-Concert Band, Del Valle High School, TEA:, El Paso, Keith Morales,AAAA,Sub Non-Varsity ,2014,96246,1,2,2,2,1,1,2,1,2," Moscow, 1941  (Balmages/ )", Andalucia (Victor Lopez), Distant Horizons  (Sweeney/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
19, 100-Concert Band, Eastlake High School, TEA:, El Paso, Maximo Sierra / Albert Martinez,AAAA,Varsity ,2014,96202,1,1,1,1,1,1,1,1,A, March (from Suite for Variety Orchestra #1) (Shostakovich/Curnow), Lux Arumque  (Whitacre/ ), Vesuvius  (Ticheli/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
20, 100-Concert Band, Eastlake High School, TEA:, El Paso, Maximo Sierra / Albert Martinez Head,AAAA,Non-Varsity ,2014,96278,2,2,2,2,1,1,1,1,2, March of the Buccaneers (Victor Flores), Our Kingsland Spring  (Hazo/ ), American Riversongs  (La Plante/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
21, 100-Concert Band, Eastwood High School, TEA:, El Paso, Bryan Andrade,AAAAA,Varsity ,2014,96164,1,2,2,2,1,1,1,1,1, Revelation March (Chambers/Bourgeois), Suite Divertimento  (Gilbert/ ), Vesuvius  (Ticheli/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
22, 100-Concert Band, Eastwood High School, TEA:, El Paso, John Oman,AAAAA,Non-Varsity ,2014,96260,2,3,3,3,2,2,2,2, , Accolade (Brad Massey), Hypnotic Fireflies  (Balmages/ ), Fortress  (Ticheli/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
23, 100-Concert Band, El Dorado High School, TEA:, El Paso, Curt Bushaw,AAAAA,Non-Varsity ,2014,96178,2,2,1,2,1,1,1,1,2, Rough Riders (Karl King), Procession of The Sardar  (Ippolikov-Ivanov/Custer), Scaramouche  (McBeth/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
24, 100-Concert Band, El Dorado High School, TEA:, El Paso, Porfirio Diaz,AAAAA,Sub Non-Varsity ,2014,96179,3,1,2,2,1,1,1,1,2, Torch of Liberty (Karl King)," Simple Gifts, Four Shaker Songs (play at least three mvts) (Ticheli/ )", Knights of Dunvegan  (Meyer/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
25, 100-Concert Band, El Dorado High School, TEA:, El Paso, Tom Tomczuk,AAAAA,Varsity ,2014,96128,2,1,1,1,1,2,2,2,1," Marche Des Parachutistes Belges (Pierre Leemans, arr. Wiley)", Procession of Nobles  (Rimsky-Korsakov/Leidzen/Ragsdale), Niagara Falls  (Daugherty/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
26, 100-Concert Band, EL Paso High School, TEA:, El Paso, Roman Lechuga,AAAA,Varsity ,2014,95952,2,2,2,2,1,2,2,2, , Big Four March (Karl L. King arr. James Swearingen), I Am  (Boysen/ ), Variations on a Korean Folk Song (Chance/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
27, 100-Concert Band, Fabens High School, TEA:, Fabens, Miguel Soto / Jose Del Rio,AAA,Varsity ,2014,87818,3,4,3,3,1,2,2,2, , Zacatecas March (Genaro Codina/ Arrangement by Andrew Glover), La Madre de los Gatos  (Brian Beck), Sparks  (Brian Balmages),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
28, 100-Concert Band, Fort Davis High School, TEA:, Fort Davis, Darryl Schwierjohn,A,Varsity ,2014,94138,1,1,1,1,1,1,1,1,A, March from First Suite for Military Band (Gustav Holst/Michael Story), Ghost Ship  (Michael Story), Gathering In The Glen  (Michael Sweeney),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
29, 100-Concert Band, Franklin High School, TEA:, El Paso, Bruce Beach,AAAAA,Varsity ,2014,96057,1,2,2,2,1,1,1,1,1, Sound Off (John Philip Sousa), Khan  (Giroux/ ), First Suite in Eb for Military Band  (Holst/Matthews/Fennell),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
30, 100-Concert Band, Franklin High School, TEA:, El Paso, Daniel Allen,AAAAA,Non-Varsity ,2014,95798,1,1,2,1,1,1,1,1,C, His Honor (Fillmore/Fennell), Aisling Gaelach  (Harbinson/ ), La Tregenda  (Puccini/Beck),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
31, 100-Concert Band, Horizon High School, TEA:, El Paso, Raul Candelaria,AAAA,Varsity ,2014,94248,1,1,1,1,2,2,1,2,1, A Slavic Farwell (Agapkin), American Salute  (Gould/Lang), A Hymn for The Lost And The Living  (Ewazen/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
32, 100-Concert Band, Horizon High School, TEA:, El Paso, Rebecca Rodriguez,AAAA,Non-Varsity ,2014,94382,2,2,2,2,1,1,1,1,2, Advance March (Bennett), As Summer Was Just Beginning  (Daehn/ ), Overture for Winds  (Carter/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
33, 100-Concert Band, Irvin High School, TEA:, El Paso, Robert Quintanilla,AAAA,Non-Varsity ,2014,96204,3,3,1,3,1,1,1,1,2, Rough-Riders (King/Swearingen), In The Shining Of The Stars  (Sheldon/ ), Sparks  (Balmages/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
34, 100-Concert Band, J. M. Hanks High School, TEA:, El Paso, Doug Brown,AAAA,Non-Varsity ,2014,96240,1,1,1,1,1,1,1,1,C, Troopers' Tribunal (Fillmore/Foster), Adagio Cantabile (from Sonata Pathetique)  (Beethoven/Daehn), Overture for Winds  (Carter/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
35, 100-Concert Band, J. M. Hanks High School, TEA:, El Paso, Horacio Gomez,AAAA,Varsity ,2014,96159,1,1,1,1,1,1,1,1,A, Americans We (Henry Fillmore), A Movement for Rosa  (Camphouse/ ), Noisy Wheels of Joy  (Whitacre/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
36, 100-Concert Band, Jefferson/Silva High School, TEA:, El Paso, David Z. Perez / David H. Castro, Acc:na,AAAA,Varsity ,2014,88908,2,1,2,2,1,1,1,1,1, Normandy Beach March (John Edmondson), As Summer Was Just Beginning  (Daehn/ ), A Longford Legend (play all) (Sheldon/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young
37, 100-Concert Band, Montwood High School, TEA:, El Paso, Daniel Hunt / Ron Pingor,AAAAA,Non-Varsity ,2014,93718,3,3,3,3,1,1,1,1,2, Conquista (Shaffer), Yorkshire Ballad  (Barnes/ ), Foundry  (Mackey/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
38, 100-Concert Band, Montwood High School, TEA:, El Paso, Ron Pingor / Daniel Hunt,AAAAA,Varsity ,2014,88678,2,2,1,2,1,1,1,1,1, The Washington Post March (Sousa / Brion & Schissel), Chester Overture for Band  (Schuman/ ), A Festival Prelude  (Reed/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
39, 100-Concert Band, Mountain View High School, TEA:, El Paso, Alma Beach / Anastasia Chuca,AAA,Varsity ,2014,96151,1,1,1,1,1,1,1,1,A, A Slavic Farewell (Vasilij Agapkin/John R. Bourgeois), An American Elegy (Frank Ticheli), American Overture for Band  (Joseph Willcox Jenkins ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
40, 100-Concert Band, Parkland High School, TEA:, El Paso, Steve Noelle,AAAA,Varsity ,2014,96127,2,2,2,2,2,1,2,2, , Aces of the Air (Karl L. King/James Swearingen), Earth Song  (Ticheli/ ), Glaciers  (Director/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
41, 100-Concert Band, Riverside High School, TEA:, El Paso, Jason Lauturner / Daniel Colunga and Sean Kilkenny,AAAA,Varsity ,2014,96150,2,2,2,2,1,1,1,1,1, March of the Belgian Paratroopers (Pierre Leemans), English Country Settings (La Plante/ ), Steel (Standridge/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
42, 100-Concert Band, San Elizario, TEA:, San Elizario, Cristina Barajas / Jessica Lopez,AAAA,Varsity A,2014,92466,2,1,2,2,2,2,2,2, , Rough Riders (Karl King/James Swearingen), Alligator Alley (Michael Daughetry), Glaciers (Scott Director),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
43, 100-Concert Band, Socorro High School, TEA:, El Paso, Marc Moomaw,AAAAA,Varsity ,2014,96267,1,1,1,1,1,1,1,1,A, Black Granite (Hosay), A Hymn for The Lost And The Living  (Ewazen/ ), Pablo!  (Meyer/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
44, 100-Concert Band, Socorro High School, TEA:, El Paso, Rebeca Rosales,AAAAA,Non-Varsity ,2014,96175,1,2,1,1,1,1,1,1,C, Prestissimo (King/Swearingen), Contrasto Grosso (play any two mvts) (de Haan/ ), Concert Variations  (Smith/ ),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
45, 100-Concert Band, Van Horn High School, TEA:, Van Horn, Matthew Short,A,Varsity ,2014,95999,3,3,4,3,2,3,4,3, , Legend of Knife River  (Bulla),  Blalock Canyon March (Hodges), Adrenaline Engines  (Standridge),DATE of EVENT 04/22/2014 ,Region: 22,1. Bill Centera,2. Mike Ouellette,3. Thomas Turpin,1. Frank Foster,2. Daniel Solis,3. Chuck Young,
