,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0, 100-Concert Band, Caney Creek HS, TEA:, Conroe, Jeremy Rehbein,AAAA,Varsity ,2007,31348,2,3,2,2,3,3,3,3, , On a Hymnsong of Philip Bliss  (Holsinger), Spoon River  (Grainger/Sheldon/Bar Bainum/GS(POP)), Children of the Shrine (Swearingen),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
1, 100-Concert Band, Caney Creek HS, TEA:, Conroe, Stephen Kloesel,AAAA,Non-Varsity ,2007,31355,2,1,2,2,3,4,3,3, , John Edmondson (Edmondson), La Rejouissance (from Fireworks)  (Handel/Williams), Pinnacle  (Grice),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
2, 100-Concert Band, Cleveland High School, TEA:, Cleveland, Jonathan Kelly,AAA,Varsity ,2007,30296,1,1,1,1,1,1,1,1,RMA, Florentiner (Julius Fucik), Theme from Green Bushes  (Grainger/Daehn), Vesuvius  (Ticheli),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
3, 100-Concert Band, Coldspring-Oakhurst High School, TEA:, Coldspring, Ryan Thornberry,AAA,Varsity ,2007,33419,1,2,2,2,3,3,3,3, , St. Petersburg March (Johnnie Vinson), Old Churches (Michael Colgrass), American Riversongs  (La Plante),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
4, 100-Concert Band, Huntsville HS, TEA:, Huntsville, John Green,AAAA,Non-Varsity ,2007,29560,2,1,2,2,2,2,2,2, , Monterey March (King), Liturgical Fanfare  (Smith), Legend of Knife River  (Bulla),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
5, 100-Concert Band, Huntsville HS, TEA:, Huntsville, Nick Luggerio,AAAA,Varsity ,2007,29553,2,2,2,2,2,1,2,2, , King Karl King March (Fillmore), Encanto  (Smith), First Suite in Eb Mvmts 2 & 3 (Holst/Matthews),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
6, 100-Concert Band, Montgomery High School, TEA:, Montgomery, Glen Oliver,AAAA,Varsity ,2007,32231,1,1,1,1,1,1,1,1,RMB, With Pleasure (Sousa), Puszta (play two mvts) (Van der Roost)," A Jubilant Overture  (Reed, A.)",DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
7, 100-Concert Band, Shepherd HS, TEA:, Shepherd, Mike Wilson,AAA,Varsity ,2007,33126,3,2,3,3,3,2,3,3, , Winchester March (Edmondson), Harvesting The Fields of Russia  (Lucas), Crest of Nobility  (Sheldon),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
8, 100-Concert Band, Splendora HS, TEA:, Splendora, James Butler,AAA,Varsity ,2007,31610,1,1,1,1,2,2,2,2,RM1, Invercargill (Lithgow/Custer), Cradlesong  (Barton), Russian Folk Fantsy  (Curnow),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
9, 100-Concert Band, Tarkington ISD, TEA:, Cleveland, Jonathan Lawles,AAA,Varsity ,2007,31796,2,2,1,2,3,3,2,3, , Allied Honor (King/Swearingen), Two Irish Sketches (play movement 2 only) (Black), Canarios Fantasia  (Akey),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
10, 100-Concert Band, Willis HS, TEA:, Willis, Wendy Marquart,AAAA,Varsity ,2007,32971,1,1,1,1,1,1,1,1,RMA, Florentiner March (Fucik/Bourgeois), Liturgical Dances (Holsinger), Four Scottish Dances (Arnolc/Paynter),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
11, 100-Concert Band, Willis, TEA:, Willis, Jesus Ibarra,AAAA,Non-Varsity ,2007,32972,3,1,2,2,2,1,1,1,RM2, Daughters of Texas (John Philip Sousa), Down A Country Lane (Aaron Copland), Pablo (Richard Meyers),DATE of EVENT 04/05/2007 ,Region: 9,1. Keith Bearden,2. Ross Grant,3. Randy Countryman,1. Jim Van Zandt,2. Travis Hobson,3. John Morrison
